id,ident,normalized,timestamp,channel,pattern,filename,request_raw,request_url,attackerIP,attackerPort,victimPort,victimIP,connectionType,connectionProtocol,priority,header,signature,sensor,connectionTransport,remoteHostname
57ab87b59f8c6d649a347a11,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-08-10T19:59:49.242+0000,dionaea.connections,,,,,61.240.144.66,59206.0,81.0,162.244.30.100,reject,pcap,,,,,tcp,
54f118259f8c6d649a27595b,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-02-28T01:21:41.688+0000,amun.events,,,,,5.9.253.163,4664.0,3389.0,172.31.13.124,initial,,,,,,,
5466cdae9f8c6d41306dfffa,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2014-11-15T03:51:10.091+0000,amun.events,,,,,65.242.160.99,2860.0,25.0,172.31.14.66,initial,,,,,,,
5435e3b49f8c6d41306c502b,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-09T01:24:04.375+0000,amun.events,,,,,61.153.106.24,2136.0,135.0,172.31.13.124,initial,,,,,,,
5858a9ff9f8c6d649a3a57ba,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-12-20T03:48:15.245+0000,dionaea.connections,,,,,::ffff:185.40.4.65,5080.0,5060.0,::,connect,SipCall,,,,,udp,
560c6eea9f8c6d649a2f1131,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-09-30T23:23:22.696+0000,dionaea.connections,,,,,222.186.21.25,6000.0,2200.0,162.244.30.100,reject,pcap,,,,,tcp,
566d59869f8c6d649a310608,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-12-13T11:41:58.500+0000,dionaea.connections,,,,,58.218.204.225,45217.0,3128.0,162.244.30.100,reject,pcap,,,,,tcp,
554064c79f8c6d649a2993dc,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-04-29T04:57:43.549+0000,dionaea.connections,,,,,222.186.55.172,6000.0,5901.0,162.244.30.100,reject,pcap,,,,,tcp,
565882b69f8c6d649a308f06,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-11-27T16:20:06.540+0000,dionaea.connections,,,,,::ffff:5.152.222.194,5070.0,5060.0,::,connect,SipCall,,,,,udp,
5493ff999f8c6d3afa83241e,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2014-12-19T10:36:09.107+0000,amun.events,,,,,74.91.25.122,57281.0,110.0,172.31.14.66,initial,,,,,,,
